iter	Passed	Remaining
0	58	58364
1	117	58510
2	163	54377
3	207	51673
4	251	49993
5	297	49206
6	340	48342
7	406	50404
8	455	50192
9	500	49568
10	542	48760
11	587	48407
12	632	47992
13	671	47326
14	713	46857
15	758	46660
16	803	46436
17	841	45890
18	885	45702
19	929	45542
20	967	45125
21	1009	44889
22	1061	45069
23	1104	44926
24	1173	45773
25	1238	46411
26	1282	46200
27	1330	46178
28	1379	46191
29	1418	45856
30	1471	46003
31	1522	46042
32	1559	45703
33	1599	45440
34	1642	45273
35	1679	44963
36	1715	44641
37	1753	44385
38	1797	44287
39	1854	44513
40	1899	44425
41	1946	44389
42	1992	44344
43	2029	44097
44	2072	43991
45	2110	43772
46	2145	43509
47	2186	43357
48	2223	43162
49	2261	42967
50	2298	42769
51	2345	42763
52	2391	42732
53	2445	42834
54	2481	42644
55	2519	42478
56	2558	42324
57	2597	42185
58	2636	42052
59	2676	41928
60	2712	41752
61	2748	41581
62	2785	41422
63	2819	41241
64	2856	41090
65	2892	40935
66	2927	40764
67	2962	40597
68	2997	40439
69	3031	40280
70	3066	40124
71	3101	39976
72	3136	39823
73	3171	39683
74	3207	39557
75	3243	39438
76	3285	39386
77	3327	39331
78	3369	39276
79	3407	39185
80	3444	39084
81	3484	39007
82	3521	38910
83	3560	38829
84	3598	38731
85	3644	38730
86	3680	38629
87	3716	38516
88	3752	38415
89	3789	38319
90	3825	38210
91	3861	38116
92	3896	38006
93	3932	37906
94	3967	37795
95	4004	37707
96	4039	37603
97	4074	37498
98	4108	37394
99	4145	37306
100	4181	37223
101	4217	37132
102	4254	37048
103	4291	36970
104	4329	36907
105	4374	36893
106	4417	36868
107	4453	36779
108	4489	36694
109	4524	36603
110	4560	36521
111	4595	36433
112	4629	36338
113	4663	36245
114	4698	36156
115	4732	36067
116	4768	35989
117	4807	35931
118	4853	35929
119	4888	35849
120	4923	35765
121	4961	35709
122	4999	35645
123	5033	35561
124	5069	35486
125	5105	35412
126	5139	35331
127	5175	35260
128	5211	35191
129	5247	35117
130	5282	35040
131	5318	34974
132	5353	34896
133	5387	34818
134	5423	34750
135	5457	34669
136	5491	34593
137	5525	34514
138	5559	34435
139	5594	34367
140	5628	34292
141	5668	34248
142	5704	34184
143	5743	34142
144	5783	34104
145	5826	34081
146	5882	34136
147	5923	34100
148	5961	34049
149	6004	34027
150	6048	34007
151	6089	33972
152	6128	33926
153	6167	33881
154	6204	33825
155	6241	33770
156	6297	33816
157	6360	33894
158	6412	33918
159	6488	34063
160	6542	34095
161	6592	34102
162	6643	34111
163	6702	34166
164	6770	34260
165	6839	34363
166	6917	34505
167	6983	34584
168	7144	35128
169	7205	35179
170	7275	35269
171	7360	35432
172	7411	35429
173	7457	35401
174	7497	35346
175	7537	35287
176	7580	35246
177	7623	35204
178	7663	35150
179	7704	35099
180	7745	35048
181	7780	34970
182	7816	34896
183	7857	34844
184	7893	34775
185	7929	34703
186	7966	34634
187	8002	34561
188	8041	34507
189	8080	34449
190	8126	34419
191	8181	34429
192	8228	34407
193	8284	34420
194	8325	34367
195	8364	34311
196	8400	34242
197	8437	34174
198	8474	34110
199	8511	34045
200	8546	33974
201	8583	33909
202	8617	33835
203	8656	33777
204	8692	33711
205	8729	33644
206	8767	33587
207	8804	33524
208	8839	33454
209	8873	33382
210	8907	33309
211	8942	33239
212	8977	33168
213	9012	33103
214	9056	33066
215	9096	33015
216	9134	32959
217	9171	32899
218	9206	32832
219	9241	32766
220	9276	32699
221	9312	32634
222	9347	32567
223	9382	32502
224	9422	32453
225	9460	32400
226	9499	32348
227	9540	32303
228	9577	32245
229	9615	32191
230	9656	32145
231	9698	32105
232	9736	32052
233	9776	32003
234	9819	31966
235	9858	31913
236	9897	31865
237	9939	31821
238	9975	31761
239	10010	31700
240	10045	31636
241	10081	31576
242	10115	31513
243	10152	31456
244	10190	31403
245	10234	31368
246	10274	31323
247	10312	31271
248	10354	31230
249	10395	31185
250	10438	31148
251	10476	31097
252	10516	31050
253	10559	31013
254	10598	30964
255	10637	30914
256	10676	30867
257	10718	30826
258	10762	30791
259	10800	30738
260	10848	30716
261	10886	30665
262	10925	30615
263	10962	30561
264	10999	30507
265	11036	30454
266	11076	30409
267	11114	30356
268	11160	30329
269	11200	30282
270	11242	30243
271	11282	30196
272	11323	30155
273	11359	30099
274	11395	30041
275	11432	29990
276	11468	29934
277	11512	29900
278	11564	29886
279	11614	29865
280	11674	29871
281	11717	29833
282	11768	29815
283	11806	29766
284	11845	29718
285	11881	29661
286	11917	29607
287	11953	29552
288	12013	29554
289	12065	29540
290	12103	29489
291	12139	29435
292	12186	29404
293	12235	29382
294	12275	29337
295	12314	29288
296	12357	29249
297	12393	29194
298	12427	29135
299	12463	29080
300	12498	29025
301	12535	28972
302	12572	28920
303	12609	28868
304	12645	28816
305	12683	28766
306	12721	28715
307	12758	28666
308	12794	28612
309	12835	28569
310	12876	28526
311	12925	28502
312	12963	28453
313	12998	28397
314	13033	28341
315	13070	28290
316	13107	28240
317	13148	28198
318	13190	28159
319	13230	28115
320	13274	28078
321	13310	28026
322	13346	27973
323	13381	27919
324	13418	27869
325	13458	27825
326	13499	27783
327	13534	27729
328	13569	27675
329	13604	27621
330	13640	27569
331	13677	27519
332	13719	27479
333	13764	27446
334	13806	27407
335	13854	27378
336	13897	27341
337	13946	27314
338	13991	27281
339	14032	27239
340	14074	27199
341	14111	27149
342	14146	27097
343	14185	27052
344	14223	27004
345	14261	26956
346	14299	26908
347	14336	26861
348	14375	26815
349	14413	26767
350	14455	26727
351	14491	26677
352	14525	26623
353	14560	26570
354	14595	26519
355	14633	26471
356	14669	26421
357	14710	26379
358	14751	26338
359	14791	26296
360	14828	26248
361	14864	26198
362	14900	26146
363	14935	26096
364	14973	26050
365	15014	26009
366	15052	25962
367	15090	25915
368	15128	25870
369	15165	25821
370	15200	25771
371	15237	25724
372	15273	25673
373	15310	25626
374	15346	25577
375	15381	25526
376	15417	25477
377	15457	25435
378	15496	25392
379	15533	25343
380	15569	25295
381	15604	25245
382	15640	25196
383	15681	25156
384	15726	25121
385	15763	25074
386	15800	25026
387	15838	24981
388	15876	24937
389	15911	24887
390	15947	24839
391	15987	24797
392	16037	24769
393	16075	24725
394	16117	24685
395	16156	24642
396	16190	24591
397	16226	24543
398	16262	24495
399	16299	24448
400	16341	24411
401	16380	24367
402	16420	24325
403	16481	24313
404	16524	24276
405	16567	24239
406	16613	24205
407	16661	24175
408	16698	24129
409	16750	24103
410	16801	24078
411	16856	24057
412	16906	24029
413	16951	23993
414	16988	23948
415	17027	23903
416	17068	23862
417	17109	23822
418	17146	23775
419	17184	23731
420	17235	23704
421	17294	23687
422	17333	23644
423	17390	23625
424	17426	23576
425	17460	23526
426	17494	23476
427	17528	23426
428	17562	23376
429	17599	23329
430	17636	23283
431	17674	23238
432	17711	23192
433	17746	23144
434	17783	23097
435	17819	23051
436	17855	23004
437	17892	22957
438	17927	22909
439	17961	22860
440	17996	22811
441	18032	22764
442	18070	22720
443	18108	22676
444	18146	22631
445	18182	22585
446	18217	22537
447	18250	22487
448	18284	22438
449	18319	22390
450	18353	22341
451	18387	22293
452	18422	22245
453	18457	22197
454	18491	22149
455	18525	22100
456	18562	22055
457	18596	22007
458	18631	21959
459	18665	21911
460	18700	21865
461	18735	21817
462	18770	21770
463	18805	21723
464	18839	21675
465	18873	21627
466	18907	21579
467	18941	21532
468	18976	21485
469	19010	21437
470	19048	21393
471	19082	21346
472	19117	21300
473	19152	21253
474	19186	21206
475	19221	21159
476	19255	21112
477	19290	21066
478	19325	21019
479	19361	20975
