iter	Passed	Remaining
0	33	33590
1	67	33623
2	101	33883
3	135	33731
4	168	33546
5	201	33359
6	236	33571
7	268	33336
8	303	33431
9	336	33280
10	362	32583
11	395	32570
12	429	32620
13	464	32712
14	497	32664
15	530	32636
16	557	32242
17	591	32249
18	624	32238
19	650	31872
20	681	31785
21	714	31778
22	747	31739
23	781	31769
24	815	31803
25	849	31818
26	892	32152
27	923	32045
28	959	32113
29	993	32137
30	1020	31899
31	1054	31901
32	1086	31851
33	1123	31930
34	1160	31997
35	1195	32008
36	1230	32017
37	1265	32043
38	1293	31880
39	1321	31723
40	1353	31667
41	1390	31708
42	1423	31687
43	1453	31571
44	1487	31577
45	1513	31393
46	1541	31257
47	1569	31131
48	1604	31145
49	1631	30993
50	1657	30841
51	1684	30704
52	1710	30555
53	1736	30425
54	1763	30295
55	1790	30182
56	1818	30089
57	1845	29980
58	1872	29864
59	1900	29768
60	1926	29655
61	1953	29557
62	1987	29562
63	2016	29486
64	2043	29393
65	2070	29296
66	2096	29197
67	2122	29091
68	2158	29118
69	2184	29027
70	2211	28942
71	2239	28861
72	2273	28874
73	2300	28790
74	2327	28701
75	2353	28610
76	2379	28527
77	2406	28447
78	2434	28382
79	2460	28295
80	2488	28228
81	2515	28156
82	2541	28079
83	2568	28007
84	2593	27915
85	2619	27835
86	2645	27760
87	2672	27695
88	2700	27642
89	2727	27573
90	2754	27513
91	2781	27450
92	2808	27388
93	2834	27321
94	2861	27255
95	2887	27189
96	2919	27175
97	2946	27123
98	2973	27065
99	3000	27004
100	3026	26940
101	3054	26890
102	3081	26835
103	3108	26783
104	3136	26733
105	3162	26673
106	3189	26617
107	3216	26561
108	3242	26503
109	3268	26443
110	3294	26386
111	3321	26335
112	3360	26382
113	3387	26329
114	3414	26276
115	3440	26218
116	3466	26160
117	3492	26107
118	3520	26059
119	3546	26008
120	3574	25970
121	3602	25922
122	3628	25872
123	3655	25822
124	3682	25775
125	3708	25726
126	3735	25678
127	3761	25627
128	3791	25600
129	3818	25552
130	3845	25506
131	3871	25454
132	3897	25405
