iter	Passed	Remaining
0	50	50495
1	90	45242
2	130	43252
3	171	42814
4	211	42080
5	249	41401
6	285	40549
7	324	40238
8	361	39763
9	402	39854
10	444	39945
11	487	40138
12	540	41007
13	581	40968
14	625	41099
15	659	40553
16	693	40091
17	729	39813
18	771	39810
19	814	39886
20	855	39903
21	896	39834
22	936	39801
23	969	39429
24	1010	39411
25	1051	39408
26	1089	39278
27	1136	39439
28	1176	39386
29	1211	39173
30	1249	39047
31	1286	38918
32	1317	38614
33	1360	38654
34	1393	38413
35	1424	38144
36	1466	38162
37	1497	37921
38	1531	37727
39	1563	37521
40	1602	37489
41	1634	37283
42	1668	37129
43	1701	36958
44	1734	36808
45	1776	36847
46	1808	36678
47	1845	36599
48	1876	36428
49	1908	36267
50	1940	36106
51	1973	35974
52	2005	35833
53	2039	35721
54	2071	35587
55	2102	35447
56	2134	35320
57	2166	35184
58	2198	35069
59	2229	34934
60	2261	34808
61	2296	34746
62	2330	34658
63	2365	34592
64	2400	34536
65	2433	34436
66	2465	34332
67	2497	34226
68	2530	34136
69	2562	34049
70	2594	33952
71	2628	33873
72	2660	33782
73	2693	33709
74	2726	33622
75	2759	33543
76	2789	33443
77	2822	33362
78	2856	33304
79	2889	33231
80	2931	33258
81	2963	33182
82	2996	33101
83	3035	33105
84	3070	33055
85	3117	33135
86	3190	33484
87	3232	33498
88	3265	33429
89	3306	33430
90	3344	33407
91	3380	33365
92	3414	33296
93	3446	33217
94	3478	33134
95	3509	33043
96	3542	32973
97	3574	32895
98	3606	32819
99	3637	32741
100	3669	32662
101	3700	32574
102	3731	32495
103	3762	32419
104	3793	32339
105	3825	32266
106	3855	32180
107	3886	32099
108	3916	32016
109	3949	31955
110	3980	31880
111	4010	31796
112	4040	31713
113	4070	31639
114	4103	31582
115	4135	31511
116	4166	31442
117	4197	31378
118	4228	31302
119	4258	31231
120	4289	31161
121	4320	31091
122	4352	31034
123	4384	30975
124	4417	30925
125	4449	30864
126	4480	30799
127	4511	30733
128	4541	30664
129	4572	30597
130	4603	30535
131	4634	30476
132	4664	30407
133	4695	30343
134	4726	30282
135	4758	30229
136	4791	30179
137	4823	30128
138	4854	30069
139	4885	30010
140	4918	29961
141	4948	29898
142	4981	29852
143	5011	29792
144	5041	29729
145	5072	29672
146	5103	29614
147	5133	29553
148	5164	29494
149	5194	29434
150	5225	29380
151	5255	29319
152	5286	29263
153	5316	29205
154	5347	29153
155	5385	29135
156	5417	29088
157	5447	29029
158	5479	28981
159	5509	28926
160	5540	28870
161	5570	28817
162	5602	28767
163	5633	28716
164	5664	28665
165	5694	28609
166	5725	28557
167	5755	28505
168	5788	28460
169	5818	28408
170	5849	28358
171	5879	28302
172	5910	28252
173	5941	28203
174	5971	28152
175	6002	28102
176	6033	28055
177	6065	28009
178	6098	27971
179	6131	27930
180	6162	27883
181	6195	27846
182	6229	27809
183	6262	27774
184	6292	27723
185	6323	27675
186	6355	27632
187	6398	27635
188	6430	27594
189	6462	27549
190	6492	27497
191	6524	27457
192	6556	27413
193	6588	27374
194	6622	27340
195	6659	27315
196	6698	27303
197	6742	27312
198	6792	27341
199	6832	27329
200	6872	27319
201	6932	27386
202	6971	27370
203	7005	27333
204	7040	27303
205	7076	27274
206	7116	27262
207	7156	27248
208	7230	27363
209	7290	27424
210	7329	27405
211	7361	27362
212	7394	27321
213	7433	27302
214	7466	27261
215	7506	27245
216	7549	27241
217	7593	27237
218	7629	27209
219	7661	27164
220	7691	27112
221	7728	27084
222	7784	27122
223	7817	27081
224	7852	27045
225	7886	27010
226	7921	26973
227	7954	26934
228	7990	26903
229	8043	26928
230	8091	26935
231	8130	26913
232	8176	26914
233	8243	26983
234	8285	26973
235	8320	26934
236	8351	26885
237	8381	26836
238	8414	26791
239	8448	26754
240	8495	26754
241	8531	26723
242	8566	26685
243	8599	26644
244	8630	26597
245	8662	26549
246	8693	26501
247	8723	26450
248	8753	26401
249	8784	26353
250	8815	26305
251	8846	26259
252	8885	26233
253	8921	26201
254	8955	26163
255	8989	26126
256	9024	26089
257	9058	26051
258	9103	26044
259	9146	26032
260	9182	25999
261	9243	26035
262	9284	26018
263	9320	25983
264	9355	25948
265	9397	25930
266	9430	25888
267	9466	25855
268	9497	25809
269	9528	25762
270	9563	25725
271	9595	25681
272	9630	25645
273	9674	25633
274	9710	25599
275	9744	25562
276	9775	25515
277	9806	25468
278	9838	25424
279	9870	25380
280	9900	25333
281	9932	25289
282	9964	25245
283	9995	25198
284	10028	25158
285	10061	25119
286	10095	25081
287	10129	25042
288	10176	25036
289	10215	25010
290	10249	24971
291	10283	24934
292	10318	24897
293	10352	24859
294	10389	24828
295	10423	24791
296	10459	24757
297	10496	24726
298	10585	24817
299	10619	24779
300	10649	24731
301	10680	24684
302	10710	24638
303	10742	24593
304	10776	24557
305	10809	24514
306	10841	24472
307	10874	24432
308	10905	24387
309	10935	24340
310	10965	24294
311	10996	24248
312	11026	24201
313	11056	24155
314	11087	24111
315	11118	24066
316	11148	24020
317	11179	23976
318	11209	23929
319	11240	23886
320	11271	23841
321	11301	23795
322	11331	23750
323	11362	23706
324	11395	23667
325	11425	23622
326	11456	23578
327	11486	23533
328	11517	23489
329	11557	23464
330	11592	23430
331	11633	23407
332	11665	23366
333	11696	23322
334	11727	23280
335	11759	23238
336	11790	23195
337	11820	23150
338	11850	23107
339	11881	23063
340	11911	23019
341	11941	22974
342	11971	22931
343	12002	22888
344	12032	22845
345	12067	22809
346	12097	22766
347	12127	22722
348	12157	22677
349	12187	22634
350	12219	22593
351	12250	22551
352	12280	22508
353	12313	22470
354	12345	22431
355	12376	22388
356	12407	22346
357	12437	22304
358	12468	22262
359	12498	22220
360	12529	22178
361	12559	22135
362	12589	22093
363	12620	22051
364	12661	22027
365	12691	21984
366	12721	21942
367	12751	21899
368	12782	21857
369	12829	21844
370	12861	21804
371	12892	21764
372	12936	21745
373	12970	21710
374	13005	21676
375	13038	21638
376	13069	21597
377	13100	21557
378	13132	21518
379	13163	21477
380	13194	21436
381	13225	21395
382	13256	21355
383	13287	21314
384	13318	21274
385	13349	21234
386	13380	21194
387	13411	21154
388	13442	21113
389	13473	21073
390	13503	21032
391	13535	20994
392	13568	20956
393	13599	20917
394	13639	20890
395	13671	20851
396	13709	20823
397	13751	20799
398	13782	20760
399	13814	20721
400	13847	20684
401	13878	20645
402	13909	20606
403	13940	20566
404	13972	20527
405	14021	20513
406	14057	20481
407	14089	20443
408	14122	20406
409	14153	20367
410	14194	20342
411	14236	20317
412	14269	20281
413	14300	20242
414	14333	20205
415	14377	20183
416	14411	20148
417	14447	20115
418	14484	20084
419	14525	20058
420	14578	20050
421	14622	20027
422	14664	20003
423	14698	19967
424	14736	19938
425	14777	19911
426	14816	19882
427	14862	19863
428	14897	19829
429	14932	19794
430	14969	19761
431	15002	19725
432	15044	19700
433	15075	19661
434	15109	19624
435	15145	19591
436	15178	19554
437	15214	19522
438	15248	19486
439	15281	19448
440	15317	19415
441	15350	19379
442	15410	19376
443	15441	19337
444	15473	19297
445	15504	19258
446	15535	19219
447	15575	19191
448	15610	19156
449	15643	19120
450	15678	19085
451	15713	19050
452	15766	19038
453	15808	19012
454	15851	18986
455	15884	18950
456	15919	18915
457	15953	18879
458	15988	18844
459	16022	18809
460	16058	18775
461	16094	18742
462	16125	18703
463	16169	18678
464	16200	18639
465	16231	18600
466	16263	18561
