iter	Passed	Remaining
0	109	109255
1	150	75131
2	190	63337
3	227	56701
4	265	52837
5	305	50536
6	342	48620
7	383	47542
8	422	46494
9	462	45752
10	496	44680
11	538	44325
12	590	44843
13	628	44229
14	664	43646
15	705	43377
16	746	43181
17	779	42547
18	819	42289
19	857	42041
20	892	41598
21	925	41138
22	964	40987
23	997	40559
24	1031	40246
25	1072	40160
26	1107	39920
27	1148	39869
28	1189	39822
29	1220	39446
30	1259	39356
31	1298	39274
32	1329	38972
33	1361	38680
34	1396	38516
35	1429	38270
36	1460	38012
37	1492	37774
38	1522	37526
39	1564	37544
40	1605	37546
41	1645	37526
42	1686	37523
43	1717	37324
44	1750	37151
45	1782	36962
46	1811	36740
47	1844	36574
48	1875	36402
49	1906	36224
50	1939	36087
51	1980	36099
52	2018	36066
53	2055	36015
54	2087	35860
55	2118	35714
56	2150	35569
57	2182	35444
58	2214	35319
59	2245	35175
60	2275	35031
61	2306	34889
62	2336	34746
63	2366	34612
64	2396	34476
65	2427	34350
66	2457	34218
67	2488	34101
68	2518	33981
69	2548	33858
70	2579	33751
71	2609	33632
72	2640	33529
73	2671	33429
74	2702	33336
75	2738	33294
76	2771	33216
77	2803	33135
78	2840	33116
79	2886	33200
80	2934	33292
81	2968	33232
82	3003	33180
83	3036	33110
84	3070	33051
85	3105	33001
86	3137	32921
87	3172	32877
88	3204	32803
89	3236	32728
90	3268	32652
91	3299	32559
92	3330	32480
93	3361	32394
94	3391	32307
95	3421	32222
96	3452	32138
97	3485	32080
98	3518	32020
99	3554	31987
100	3586	31924
101	3615	31832
102	3645	31751
103	3676	31670
104	3706	31589
105	3735	31508
106	3784	31585
107	3814	31505
108	3843	31420
109	3873	31343
110	3903	31264
111	3933	31190
112	3983	31266
113	4022	31263
114	4052	31189
115	4084	31124
116	4114	31048
117	4144	30975
118	4173	30900
119	4205	30839
120	4234	30762
121	4264	30687
122	4293	30616
123	4323	30540
124	4352	30467
125	4382	30396
126	4412	30328
127	4441	30260
128	4471	30188
129	4504	30143
130	4535	30086
131	4577	30099
132	4608	30041
133	4640	29988
134	4672	29941
135	4703	29883
136	4735	29831
137	4767	29777
138	4799	29727
139	4830	29673
140	4862	29623
141	4894	29573
142	4925	29520
143	4957	29471
144	4988	29414
145	5021	29370
146	5053	29322
147	5084	29270
148	5115	29218
149	5145	29158
150	5175	29101
151	5213	29088
152	5243	29028
153	5273	28970
154	5303	28915
155	5333	28855
156	5363	28800
157	5393	28744
158	5423	28684
159	5452	28624
160	5483	28575
161	5515	28531
162	5545	28477
163	5575	28420
164	5605	28367
165	5636	28316
166	5666	28264
167	5696	28213
168	5727	28162
169	5757	28112
170	5787	28056
171	5816	28002
172	5846	27948
173	5876	27895
174	5906	27843
175	5935	27790
176	5966	27740
177	5995	27686
178	6025	27638
179	6055	27586
180	6085	27536
181	6115	27483
182	6144	27433
183	6174	27381
184	6204	27332
185	6233	27280
186	6262	27228
187	6292	27176
188	6321	27125
189	6351	27076
190	6381	27027
191	6410	26979
192	6440	26930
193	6470	26882
194	6499	26833
195	6529	26783
196	6558	26733
197	6588	26688
198	6619	26643
199	6649	26597
200	6680	26553
201	6710	26511
202	6742	26473
203	6774	26433
204	6804	26388
205	6834	26342
206	6864	26296
207	6893	26248
208	6922	26200
209	6952	26154
210	6981	26107
211	7012	26064
212	7043	26022
213	7073	25978
214	7103	25937
215	7133	25890
216	7162	25843
217	7191	25797
218	7221	25753
219	7251	25709
220	7280	25664
221	7309	25617
222	7339	25574
223	7371	25537
224	7403	25502
225	7434	25461
226	7466	25425
227	7498	25390
228	7543	25398
229	7575	25362
230	7605	25318
231	7635	25276
232	7665	25234
233	7695	25190
234	7725	25148
